Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
1,amazon,Link,Amazon,await page.getByLabel('Amazon'),//a[@id='nav-logo-sprites'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[1]/div[1]/a[1],a#nav-logo-sprites,nav-logo-sprites,,nav-logo-link nav-progressive-attribute,"(16, 5)",114 × 50,95
2,deliver_to_india,Link,"Deliver to
India","await page.getByRole('link', name='Deliver to
India')",//a[@id='nav-global-location-popover-link'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[1]/div[2]/span[1]/a[1],a#nav-global-location-popover-link,nav-global-location-popover-link,,nav-a nav-a-2 a-popover-trigger a-declarative nav-progressive-attribute,"(135, 5)",86.6875 × 50,90
3,search_amazon_input,Input Field,Search Amazon,await page.getByLabel('Search Amazon'),//input[@id='twotabsearchtextbox'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[2]/div[1]/input[1],input#twotabsearchtextbox,twotabsearchtextbox,field-keywords,nav-input nav-progressive-attribute,"(296.6875, 11)",1119.34375 × 38,95
4,nav_search_submit_button_input,Input Field,nav-search-submit-button,await page.locator('#nav-search-submit-button'),//input[@id='nav-search-submit-button'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[2]/div[1]/form[1]/div[3]/div[1]/span[1]/input[1],input#nav-search-submit-button,nav-search-submit-button,,nav-input nav-progressive-attribute,"(1416.03125, 10)",45 × 40,80
5,en_a,Link,EN,"await page.getByLabel('Choose a language for shopping in Amazon United States. The current selection is English (EN).
')","//div[@id='icp-nav-flyout']/a[contains(@class, 'nav-a nav-a-2 icp-link-style-2')][1]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[3]/div[1]/div[1]/a[1],div#icp-nav-flyout > a.nav-a nav-a-2 icp-link-style-2,,,nav-a nav-a-2 icp-link-style-2,"(1492.03125, 6)",46.453125 × 50,95
6,hello_sign_in_account_lists,Link,"Hello, sign in
Account & Lists","await page.getByRole('link', name='Hello, sign in
Account & Lists')","//div[@id='nav-link-accountList']/a[contains(@class, 'nav-a nav-a-2   nav-progressive-attribute')][1]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[3]/div[1]/div[2]/a[1],div#nav-link-accountList > a.nav-a nav-a-2   nav-progressive-attribute,,,nav-a nav-a-2   nav-progressive-attribute,"(1562.484375, 5)",119.578125 × 50,90
7,returns_orders_a,Link,"Returns
& Orders","await page.getByRole('link', name='Returns
& Orders')",//a[@id='nav-orders'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[3]/div[1]/a[1],a#nav-orders,nav-orders,,nav-a nav-a-2   nav-progressive-attribute,"(1706.0625, 5)",77.921875 × 50,90
8,0_cart,Link,"0
Cart",await page.getByLabel('0 items in cart'),//a[@id='nav-cart'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[1]/div[3]/div[1]/a[2],a#nav-cart,nav-cart,,nav-a nav-a-2 nav-progressive-attribute,"(1789.984375, 5)",84.015625 × 50,95
9,all,Link,All,await page.getByLabel('Open All Categories Menu'),//a[@id='nav-hamburger-menu'],/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[1]/a[1],a#nav-hamburger-menu,nav-hamburger-menu,,,"(15, 60)",57.890625 × 39,95
10,today_s_deals,Link,Today's Deals,"await page.getByRole('link', name='Today\'s Deals')","//div[@id='nav-xshop']/ul[contains(@class, 'nav-ul')][1]/li[contains(@class, 'nav-li')][1]/div[contains(@class, 'nav-div')]/a[contains(@class, 'nav-a  ')]",/html[1]/body[1]/div[1]/header[1]/div[1]/div[5]/div[2]/div[1]/div[1]/ul[1]/li[1]/div[1]/a[1],div#nav-xshop > ul.nav-ul > li.nav-li > div.nav-div > a.nav-a  ,,,nav-a  ,"(80.890625, 65)",96.71875 × 28,90
