Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
1,view_product_a,Link,View Product,"await page.getByRole('link', name='View Product')","//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'features_items')][1]/div[contains(@class, 'col-sm-4')][35]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'choose')][2]/ul[contains(@class, 'nav nav-pills nav-justified')]/li/a",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[1]/div[35]/div[1]/div[2]/ul[1]/li[1]/a[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.features_items > div.col-sm-4:nth-of-type(35) > div.product-image-wrapper > div.choose:nth-of-type(2) > ul.nav nav-pills nav-justified > li > a,,,,"(994.96875, 7510.640625)",247.484375 × 38.5625,90
2,features_items_recommended_items_h2,Interactive Element,RECOMMENDED ITEMS - FEATURES ITEMS,await page.getByText('RECOMMENDED ITEMS'),"//body[1]/section[2]/div[contains(@class, 'container')]/div[contains(@class, 'row')]/div[contains(@class, 'col-sm-9 padding-right')][2]/div[contains(@class, 'recommended_items')][2]/h2[contains(@class, 'title text-center')][1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/h2[1],html > body > section:nth-of-type(2) > div.container > div.row > div.col-sm-9 padding-right:nth-of-type(2) > div.recommended_items:nth-of-type(2) > h2.title text-center,,,title text-center,"(415, 7584.203125)",832.5 × 19.796875,85
3,ecommerce_website_products_img,Interactive Element,ecommerce website products,await page.locator('div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4 > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][1]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/img[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4 > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(420, 7639)",247.484375 × 229.9375,80
4,ecommerce_website_products_img_order_3,Interactive Element,ecommerce website products,await page.locator('div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][2]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/img[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(707.484375, 7639)",247.484375 × 229.9375,80
5,ecommerce_website_products_img_order_4,Interactive Element,ecommerce website products,await page.locator('div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][3]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/img[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/img[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products > div.productinfo text-center > img,,,,"(994.96875, 7639)",247.484375 × 229.9375,80
6,rs_500_blue_top_add_to_cart_a,Link,Unknown Context,await page.locator('div#recommended-item-carousel > a.left recommended-item-control'),"//div[@id='recommended-item-carousel']/a[contains(@class, 'left recommended-item-control')][1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/a[1],div#recommended-item-carousel > a.left recommended-item-control,,,left recommended-item-control,"(400, 7804.859375)",27.15625 × 28,80
7,rs_500_blue_top_add_to_cart_a_order_6,Link,Unknown Context,await page.locator('div#recommended-item-carousel > a.right recommended-item-control:nth-of-type(2)'),"//div[@id='recommended-item-carousel']/a[contains(@class, 'right recommended-item-control')][2]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/a[2],div#recommended-item-carousel > a.right recommended-item-control:nth-of-type(2),,,right recommended-item-control,"(1235.34375, 7804.859375)",27.15625 × 28,80
8,rs_1500_stylish_dress_add_to_cart_rs_1500_h2,Interactive Element,"Rs. 1500 - Rs. 1500

Stylish Dress

Add to cart",await page.getByText('Rs. 1500'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][1]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4 > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(420, 7878.9375)",247.484375 × 26.390625,85
9,rs_600_winter_top_add_to_cart_rs_600_h2,Interactive Element,"Rs. 600 - Rs. 600

Winter Top

Add to cart",await page.getByText('Rs. 600'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][2]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/h2[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(707.484375, 7878.9375)",247.484375 × 26.390625,85
10,rs_400_summer_white_top_add_to_cart_rs_400_h2,Interactive Element,"Rs. 400 - Rs. 400

Summer White Top

Add to cart",await page.getByText('Rs. 400'),"//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][3]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/h2[1]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/h2[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(3) > div.product-image-wrapper > div.single-products > div.productinfo text-center > h2,,,,"(994.96875, 7878.9375)",247.484375 × 26.390625,85
11,rs_1500_add_to_cart,Link,Add to cart - Rs. 1500,"await page.getByRole('link', name='Add to cart').nth(0)","//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][1]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/a[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4 > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(486, 7957.328125)",115.484375 × 33.421875,90
12,rs_600_add_to_cart,Link,Add to cart - Rs. 600,"await page.getByRole('link', name='Add to cart').nth(1)","//div[@id='recommended-item-carousel']/div[contains(@class, 'carousel-inner')][1]/div[contains(@class, 'item active')][2]/div[contains(@class, 'col-sm-4')][2]/div[contains(@class, 'product-image-wrapper')]/div[contains(@class, 'single-products')]/div[contains(@class, 'productinfo text-center')]/a[contains(@class, 'btn btn-default add-to-cart')]",/html[1]/body[1]/section[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/a[1],div#recommended-item-carousel > div.carousel-inner > div.item active:nth-of-type(2) > div.col-sm-4:nth-of-type(2) > div.product-image-wrapper > div.single-products > div.productinfo text-center > a.btn btn-default add-to-cart,,,btn btn-default add-to-cart,"(773.484375, 7957.328125)",115.484375 × 33.421875,90
