Page Order,Semantic Name,Element Type,Logical Name,Playwright Best,Relative XPath,Absolute XPath,CSS Selector,ID Attribute,Name Attribute,Class Name,Coordinates,Dimension,Confidence Score
1,product_store_a,Link,PRODUCT STORE,"await page.getByRole('link', name='PRODUCT STORE')",//a[@id='nava'],/html[1]/body[1]/nav[1]/div[1]/a[1],a#nava,nava,,navbar-brand,"(122.5, 8)",227.25 × 58,90
2,home_current_a,Link,"Home
(current)","await page.getByRole('link', name='Home
(current)')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item active')][1]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[1]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item active > a.nav-link,,,nav-link,"(472.78125, 17)",58.65625 × 40,90
3,contact,Link,Contact,"await page.getByRole('link', name='Contact')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item')][2]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[2]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item:nth-of-type(2) > a.nav-link,,,nav-link,"(531.4375, 17)",71.484375 × 40,90
4,about_us,Link,About us,"await page.getByRole('link', name='About us')","//div[@id='navbarExample']/ul[contains(@class, 'navbar-nav ml-auto')]/li[contains(@class, 'nav-item')][3]/a[contains(@class, 'nav-link')]",/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[3]/a[1],div#navbarExample > ul.navbar-nav ml-auto > li.nav-item:nth-of-type(3) > a.nav-link,,,nav-link,"(602.921875, 17)",79.46875 × 40,90
5,cart,Link,Cart,"await page.getByRole('link', name='Cart')",//a[@id='cartur'],/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[4]/a[1],a#cartur,cartur,,nav-link,"(682.390625, 17)",46.203125 × 40,90
6,log_in_a,Link,Log in,"await page.getByRole('link', name='Log in')",//a[@id='login2'],/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[5]/a[1],a#login2,login2,,nav-link,"(728.59375, 17)",57.859375 × 40,90
7,sign_up_a,Link,Sign up,"await page.getByRole('link', name='Sign up')",//a[@id='signin2'],/html[1]/body[1]/nav[1]/div[1]/div[1]/ul[1]/li[8]/a[1],a#signin2,signin2,,nav-link,"(786.453125, 17)",67.6875 × 40,90
8,img,Interactive Element,Unknown Context,await page.locator('div#imgp > div.item active > img'),"//div[@id='imgp']/div[contains(@class, 'item active')]/img",/html[1]/body[1]/div[5]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/img[1],div#imgp > div.item active > img,,,,"(31, 133)",400 × 280,80
9,samsung_galaxy_s6_h2,Interactive Element,Samsung galaxy s6,await page.getByText('Samsung galaxy s6'),"//div[@id='tbodyid']/h2[contains(@class, 'name')][1]",/html[1]/body[1]/div[5]/div[1]/div[2]/h2[1],div#tbodyid > h2.name,,,name,"(567.25, 133)",758.75 × 35.1875,85
10,samsung_galaxy_s6_360_includes_tax_h3,Interactive Element,$360 *includes tax - Samsung galaxy s6,await page.getByText('$360 *includes tax'),"//div[@id='tbodyid']/h3[contains(@class, 'price-container')][1]",/html[1]/body[1]/div[5]/div[1]/div[2]/h3[1],div#tbodyid > h3.price-container,,,price-container,"(567.25, 201.1875)",758.75 × 26.390625,85
